list,trial,concept,kanji_img,correct_img,distractor_img,correct_pos_original
A,1,Herbst,Herbst_Kanji.jpg,Herbst.jpg,Ast.jpg,1
A,2,Baumwolle,Baumwolle_Kanji.jpg,Baumwolle.jpg,Pflanze.jpg,1
A,3,Welt,Welt_Kanji.jpg,Welt.jpg,Stock.jpg,1
A,4,Zeit,Zeit_Kanji.jpg,Zeit.jpg,Dunkelheit.jpg,1
A,5,Nebel,Nebel_Kanji.jpg,Nebel.jpg,Wald.jpg,1
A,6,See,See_Kanji.jpg,See.jpg,Klippe.jpg,1
A,7,Nacht,Nacht_Kanji.jpg,Nacht.jpg,Mittag.jpg,1
A,8,Schwarz,Schwarz_Kanji.jpg,Schwarz.jpg,Gelb.jpg,2
A,9,Kalt,Kalt_Kanji.jpg,Kalt.jpg,Eiszapfen.jpg,2
A,10,Vorsicht,Vorsicht_Kanji.jpg,Vorsicht.jpg,Gefaehrlich.jpg,2
A,11,Gefaehrlich,Gefaehrlich_Kanji.jpg,Gefaehrlich.jpg,Rot.jpg,2
A,12,Asien,Asien_Kanji.jpg,Asien.jpg,Afrika.jpg,2
A,13,Insel,Insel_Kanji.jpg,Insel.jpg,Sommer.jpg,2
A,14,Hoehle,Hoehle_Kanji.jpg,Hoehle.jpg,Berg.jpg,2
A,15,Leben,Leben_Kanji.jpg,Leben.jpg,Weiss.jpg,2
B,1,Palme,Palme_Kanji.jpg,Palme.jpg,Strand.jpg,1
B,2,Bakterium,Bakterium_Kanji.jpg,Bakterium.jpg,Sueden.jpg,1
B,3,Huegel,Huegel_Kanji.jpg,Huegel.jpg,Rechts.jpg,1
B,4,Schnee,Schnee_Kanji.jpg,Schnee.jpg,Regen.jpg,1
B,5,Wolke,Wolke_Kanji.jpg,Wolke.jpg,Winter.jpg,1
B,6,Fruehling,Fruehling_Kanji.jpg,Fruehling.jpg,Klima.jpg,1
B,7,Braun,Braun_Kanji.jpg,Braun.jpg,Gruen.jpg,1
B,8,Violett,Violett_Kanji.jpg,Violett.jpg,Dunkelblau.jpg,1
B,9,Meer,Meer_Kanji.jpg,Meer.jpg,Teich.jpg,2
B,10,Wasser,Wasser_Kanji.jpg,Wasser.jpg,Baum.jpg,2
B,11,Wind,Wind_Kanji.jpg,Wind.jpg,Regenbogen.jpg,2
B,12,Ticket,Ticket_Kanji.jpg,Ticket.jpg,Osten.jpg,2
B,13,Arzt,Arzt_Kanji.jpg,Arzt.jpg,Europa.jpg,2
B,14,Westen,Westen_Kanji.jpg,Westen.jpg,Vier.jpg,2
B,15,Jahr,Jahr_Kanji.jpg,Jahr.jpg,Links.jpg,2
P,1,Baer,Baer_Kanji.jpg,Baer.jpg,Fisch.jpg,1
